preferredLabel,description,broaderConceptPT
interact through digital technologies,Interact through a variety of digital technologies and understand appropriate digital communication means for a given context.,digital communication and collaboration
interact through digital technologies,Interact through a variety of digital technologies and understand appropriate digital communication means for a given context.,using digital tools for collaboration and productivity
computer programming,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms (e.g. object oriented programming, functional programming) and of programming languages.",digital content creation
computer programming,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms (e.g. object oriented programming, functional programming) and of programming languages.",software and applications development and analysis
"evaluate data, information and digital content","Analyse, compare and critically evaluate the credibility and reliability of sources of data, information and digital content. Analyse, interpret and critically evaluate the data, information and digital content.",digital data processing
"evaluate data, information and digital content","Analyse, compare and critically evaluate the credibility and reliability of sources of data, information and digital content. Analyse, interpret and critically evaluate the data, information and digital content.",analysing and evaluating information and data
"browse, search and filter data, information and digital content","Articulate information needs, search for data, information and content in digital environments, access them and navigate between them. Create and update personal search strategies.",digital data processing
"browse, search and filter data, information and digital content","Articulate information needs, search for data, information and content in digital environments, access them and navigate between them. Create and update personal search strategies.","browsing, searching and filtering digital data"
manage ICT change request process,"Specify the incentive for an ICT change request, stating which adjustment in the system needs to be accomplished and execute or supervise the execution of it.",directing operational activities
manage software localisation,"Organise the transference process of a certain software from one locale to another, in order to expand the number of users, by modifying content through the use of user interface translation, while taking into consideration the properties of the future country the software will be introduced into.",directing operational activities
manage content development projects,"Plan and implement the creation, delivery and management of digital or printed content, develop a system that describes the entire editorial content development and publishing process and use ICT tools to support the process.","directing, supervising and coordinating projects"
conserve new media,Digitally preserve and archive electronic records using up-to-date technology.,documenting and recording information
operate mailing information systems,Operate mailing information systems in order to record the processing and handling of mail. Record faults and identify packages that were not delivered. Ensure mail and small packages are traceable until they are delivered to the recipients.,documenting and recording information
log emergency call information electronically,Register the information received from emergency callers into a computer for further processing or record keeping purposes.,documenting and recording information
create GIS reports,"Use relevant geographic informations systems to create reports and maps based on geospatial information, using GIS software programmes.","documenting technical designs, procedures, problems or activities"
geographic information systems,"The tools involved in geographical mapping and positioning, such as GPS (global positioning systems), GIS (geographical information systems), and RS (remote sensing).",earth sciences
global navigation satellite system performance parameters,"The performance parameters for Global Navigation Satellite Systems (GNSS), and the requirements that any GNSS system should possess in specific conditions.",earth sciences
colour grade images with digital intermediate,Use a scanning device to scan film negatives in order to digitally fine-tune them using image editing software.,edit digital moving images
colour grade images with digital intermediate,Use a scanning device to scan film negatives in order to digitally fine-tune them using image editing software.,using digital tools for processing sound and images
learning technologies,"The technologies and channels, including digital, to enhance learning.",education science
cybernetics,"The science, mechanisms and components of cybernetics. The type of systems theory focused on the control of regulatory feedback across both living and non-living systems.",education science
smart grids systems,"Smart grids are a digital electricity network. The system involves the electronic digital control of production, distribution and use of electricity, information management of the components and energy saving.",electricity and energy
field-programmable gate arrays,"The integrated circuits that can be repurposed to desired application or functionality requirements after their manufacturing, which allow users to tailor microcontrollers to meet their own individual needs.",electricity and energy
consumer electronics,"The functioning of electronic consumer goods such as TVs, radios, cameras and other audio and video equipment.",electronics
consumer electronics,"The functioning of electronic consumer goods such as TVs, radios, cameras and other audio and video equipment.",electronics and automation
building systems monitoring technology,Computer-based control systems that monitor mechanical and electrical equipment in a building security and lighting systems.,electronics and automation
human-robot collaboration,"Human-Robot Collaboration is the study of collaborative processes in which human and robot agents work together to achieve shared goals. Human-Robot Collaboration (HRC) is an interdisciplinary research area comprising classical robotics, human-computer interaction, artificial intelligence, design, cognitive sciences and psychology. It is related to the definition of the plans and the rules for communication to perform a task and achieve a goal in a joint action with a robot.",electronics and automation
telecommunications engineering,Discipline that combines computer science with electrical engineering to improve telecommunications systems.,electronics and automation
interfacing techniques,The techniques that relate to interfaces between models and components.,electronics and automation
telecommunication trunking,The method of providing network access to many clients while keeping smaller number of connection components by grouping and sharing connection circuits and frequencies.,electronics and automation
control systems,Devices or a set of devices that command and manage the performance and behaviour of other equipment and systems. This includes Industrial control systems (ICS) which are used for industrial production and manufacturing.,electronics and automation
integrated circuit types,"Types of integrated circuits (IC), such as analog integrated circuits, digital integrated circuits, and mixed-signal integrated circuits.",electronics and automation
programmable logic controller,Programmable logic controllers or PLC's are computer control systems used for the monitoring and control of input and output as well as the automation of electromechanical processes.,electronics and automation
building automation,"Type of automatic control system where through a Building Managements System or Building Automation System (BAS) the control of a building's ventilation, humidity, heating, lighting and other systems is being automated at centralized location and monitored through electronic systems. Can be set to optimize energy consumption.  ",electronics and automation
ICT communications protocols,The system of rules which allow the exchange of information between computers or other devices via computer networks.,electronics and automation
building's electronic access equipment,"The types, characteristics and methods of use of electronic equipment used to access facilities such as card access control panels, card readers or infra-red readers.",electronics and automation
robotic components,"The components that can be found in robotic systems, such as microprocessors, electronics, sensors, circuit boards, encoders, servomotors, controllers, pneumatics or hydraulics.",electronics and automation
telecom regulations,"Code of rules to protect telecommunication consumers, ensuring high standards of communication services such as equivalent and affordable access, connectivity, transparency of contracts or security against malware. The regulation covers web-based and traditional services. ",electronics and automation
computer engineering,"Engineering discipline that combines computer science with electrical engineering to develop computer hardware and software. Computer engineering occupies itself with electronics, software design, and the integration of hardware and software.",electronics and automation
maritime telecommunications,"Knowledge of transmission, broadcasting equipment and overall operation of telecommunications systems.",electronics and automation
electronics,"The functioning of electronic circuit boards, processors, chips, and computer hardware and software, including programming and applications. ",electronics and automation
unmanned air systems,The systems used to remotely control unmanned aerial vehicles by onboard computers or by a pilot on the ground or in the air.,electronics and automation
instrumentation engineering,The science and engineering discipline that attempts to control process variables of production and manufacturing. It also focuses on the design of systems with desired behaviours. These systems use sensors to measure the output performance of the device that is being controlled.,electronics and automation
control engineering,Subdiscipline of engineering that focuses on controlling the behaviour of systems through the use of sensors and actuators.,electronics and automation
signal processing,"The algorithms, applications and implementations that deal with the processing and transferring of information through analog or digital frequencies.",electronics and automation
ICT infrastructure,"The system, network, hardware and software applications and components, as well as devices and processes that are used in order to develop, test, deliver, monitor, control or support ICT services.",electronics and automation
domotic systems,"Residential intelligent building installations for lighting, heating, security, etc that can be controlled remotely. Domotic systems aim at improving the quality of life inside houses and buildings, including enhancing the independence of people with disabilities and contributing to energy saving.",electronics and automation
reed sensors,"Sensors that detect the separation of multiple magnetic components, often used to detect the opening of doors and windows for burglary prevention.",electronics and automation
computer technology,"Computers, computer networks and other information technologies and equipment that can store, retrieve, transmit and manipulate data.",electronics and automation
electronic communication,"Data communication performed through digital means such as computers, telephone or e-mail.",electronics and automation
robotics,"The branch of engineering that involves the design, operation, manufacture, and application of robots. Robotics is part of mechanical engineering, electrical engineering, and computer science and overlaps with mechatronics and automation engineering.",electronics and automation
concepts of telecommunications,"The telecommunication principles, theories, models, equipment and processes such as transfer rate, bandwidth, signal-to-noise ratio, bit error ratio and C/N ratio, as well as the effect of the qualities of the transmission path on the operation and quality of telecommunications.",electronics and automation
automation technology,"Set of technologies that make a process, system, or apparatus operate automatically through the use of control systems.",electronics and automation
hardware architectures,The designs laying out the physical hardware components and their interconnections.,electronics and automation
hardware architectures,The designs laying out the physical hardware components and their interconnections.,ICT infrastructure
electronic and telecommunication equipment,"The offered electronic and telecommunication equipment and products, their functionalities, properties and legal and regulatory requirements.",electronics and automation
electronic and telecommunication equipment,"The offered electronic and telecommunication equipment and products, their functionalities, properties and legal and regulatory requirements.",product comprehension
energy saving potential of automated shift systems,Potential to save energy in automated shift systems through mechanisms such as improved efficiency and better anticipation of upcoming events.,energy efficiency
energy saving potential of automated shift systems,Potential to save energy in automated shift systems through mechanisms such as improved efficiency and better anticipation of upcoming events.,electricity and energy
emergent technologies,"The recent trends, developments and innovations in modern technologies such as biotechnology, artificial intelligence and robotics.",engineering and engineering trades not elsewhere classified
model based system engineering,"Model-based systems engineering (MBSE) is a methodology for systems engineering that uses visual modelling as the primary means of communicating information. It is focused on creating and exploiting domain models as the primary means of information exchange between engineers and engineering technicians, rather than on document-based information exchange. Therefore, it eliminates the communication of unnecessary information by relying on abstract models that retain only the relevant data.",engineering and engineering trades not further defined
translate formulae into processes,"Translate, by means of computer models and simulations, the specific laboratory formulae and findings into production processes.",entering and transforming information
process collected survey data,"Analyse and interpret survey data acquired from a wide variety of sources e.g. satellite surveys, aerial photography and laser measurement systems.",entering and transforming information
maintain data entry requirements,Uphold conditions for data entry. Follow procedures and apply data program techniques.,entering and transforming information
lay out digital written content,"Lay out pages by selecting sizes, styles and entering text and graphics into computer systems.",entering and transforming information
transcribe texts,"Use input devices such as mouse, keyboard and scanner, to transcribe texts into a computer.",entering and transforming information
type on electronic devices,Type fast and flawless on electronic devices such as computers in order to ensure a quick and accurate data entry.,entering and transforming information
prepare well data sheets,"Prepare data sheets, listing all relevant information on a well, including location, geological properties of the well, type of resources, temperatures and various analyses plotted against the depth.",entering and transforming information
process data,"Enter information into a data storage and data retrieval system via processes such as scanning, manual keying or electronic data transfer in order to process large amounts of data.",entering and transforming information
green computing,"The use of ICT systems in an environmentally responsible and sustainable manner, such as the implementation of energy-efficient servers and central processing units (CPUs), reduction of resources and correct disposal of e-waste.",environmental protection technology
estimate costs of installing telecommunication devices,"Estimate the total installation costs of telecommunication devices such as modems, routers, analogue switches, optical fibre, and landline phones.",estimating resource needs
estimate costs of installing telecommunication devices,"Estimate the total installation costs of telecommunication devices such as modems, routers, analogue switches, optical fibre, and landline phones.",assess operating cost
estimate costs of installing telecommunication devices,"Estimate the total installation costs of telecommunication devices such as modems, routers, analogue switches, optical fibre, and landline phones.",assess financial viability
inspect data,"Analyse, transform and model data in order to discover useful information and to support decision-making.","evaluate data, information and digital content"
inspect data,"Analyse, transform and model data in order to discover useful information and to support decision-making.",analysing and evaluating information and data
process data from railway control rooms,"Interpret data generated in control rooms in railway stations. Utilise gathered information to identify faults in mechanical equipment, schedule changes, and identify delays and incidents that may occur; provide solutions in the event of incidents and mitigate the impact on operations.","evaluating systems, programmes, equipment and products"
process data from railway control rooms,"Interpret data generated in control rooms in railway stations. Utilise gathered information to identify faults in mechanical equipment, schedule changes, and identify delays and incidents that may occur; provide solutions in the event of incidents and mitigate the impact on operations.",process qualitative information
execute integration testing,"Perform testing of system or software components grouped in multiple ways to evaluate their ability to interconnect, their interface and their ability to provide global functionality.",execute software tests
execute integration testing,"Perform testing of system or software components grouped in multiple ways to evaluate their ability to interconnect, their interface and their ability to provide global functionality.",setting up computer systems
cryptocurrency,"Digital and encrypted currency or medium of exchange with decentralized network grounded on blockchain technology, since the value of the cryptocurrency is not managed or maintained by central authorities, as is the case with the Euro.","finance, banking and insurance"
collect real-time geolocation information,"Use tools, techniques, and procedures to remotely exploit and establish persistence on a target. Provide real-time, actionable geolocation information utilizing target infrastructures.",gather data
collect real-time geolocation information,"Use tools, techniques, and procedures to remotely exploit and establish persistence on a target. Provide real-time, actionable geolocation information utilizing target infrastructures.",gathering information from physical or electronic sources
collect ICT data,Gather data by designing and applying search and sampling methods.,gather data
collect ICT data,Gather data by designing and applying search and sampling methods.,gathering information from physical or electronic sources
compile data for navigation publications,Compile data for navigational publications; gather and process authentic and valid data.,gather data
compile data for navigation publications,Compile data for navigational publications; gather and process authentic and valid data.,process data
compile data for navigation publications,Compile data for navigational publications; gather and process authentic and valid data.,gather experimental data
compile data for navigation publications,Compile data for navigational publications; gather and process authentic and valid data.,gathering information from physical or electronic sources
collect mapping data,Collect and conserve mapping resources and mapping data.,gathering information from physical or electronic sources
collect customer data,"Collect customer data such as contact information, credit card or billing information; gather information to track down purchase history.",gathering information from physical or electronic sources
collect cyber defence data,"Collect data for cyber defence using various data collection tools. Data may be gathered from a number of internal or external sources such as online trade records, DNS request logs, email servers' logs, digital communications packet capturing, deep web resources, etc.",gathering information from physical or electronic sources
compile GIS-data,Gather and organise GIS-data from sources such as databases and maps.,gathering information from physical or electronic sources
compile GIS-data,Gather and organise GIS-data from sources such as databases and maps.,collect mapping data
gather data,Extract exportable data from multiple sources.,gathering information from physical or electronic sources
gather data,Extract exportable data from multiple sources.,use data processing techniques
computer history,The history of computer development framed in a digitising society.,history and archaeology
computer history,The history of computer development framed in a digitising society.,history
property management software,"The features and functioning of a software that enables the management of daily operations in real estate and accommodation businesses, to optimise resources and processes such as booking reservations, room rates, revenue data analytics or billing. ","hotel, restaurants and catering"
network management system tools,"The software or hardware tools which enable monitoring, analysis and supervision of individual network components or network parts within a larger network system.",ICT infrastructure
network management system tools,"The software or hardware tools which enable monitoring, analysis and supervision of individual network components or network parts within a larger network system.",database and network design and administration
embedded systems,"The computer systems and components with a specialised and autonomous function within a larger system or machine such as embedded systems software architectures, embedded peripherals, design principles and development tools.",ICT infrastructure
embedded systems,"The computer systems and components with a specialised and autonomous function within a larger system or machine such as embedded systems software architectures, embedded peripherals, design principles and development tools.",electronics and automation
Agile project management,"The agile project management approach is a methodology for planning, managing and overseeing of ICT resources in order to meet specific goals and using project management ICT tools.",ICT project management methodologies
Agile project management,"The agile project management approach is a methodology for planning, managing and overseeing of ICT resources in order to meet specific goals and using project management ICT tools.",management and administration
Prince2 project management,"The PRINCE2 management approach is a methodology for planning, managing and overseeing of ICT resources in order to meet specific goals and using project management ICT tools.",ICT project management methodologies
Prince2 project management,"The PRINCE2 management approach is a methodology for planning, managing and overseeing of ICT resources in order to meet specific goals and using project management ICT tools.",management and administration
lean project management,"The lean project management approach is a methodology for planning, managing and overseeing of ICT resources in order to meet specific goals and using project management ICT tools.",ICT project management methodologies
lean project management,"The lean project management approach is a methodology for planning, managing and overseeing of ICT resources in order to meet specific goals and using project management ICT tools.",management and administration
DevOps,The DevOps development approach is a methodology to design software systems and applications focused on the collaboration and between software programmers and other ICT professionals and automation.,ICT project management methodologies
DevOps,The DevOps development approach is a methodology to design software systems and applications focused on the collaboration and between software programmers and other ICT professionals and automation.,software and applications development and analysis
protect health and well-being while using digital technologies,Be able to avoid health-risks and threats to physical and psychological well-being while using digital technologies. Be able to protect oneself and others from possible dangers in digital environments (e.g. cyber bullying). Be aware of digital technologies for social well-being and social inclusion.,ICT safety
protect health and well-being while using digital technologies,Be able to avoid health-risks and threats to physical and psychological well-being while using digital technologies. Be able to protect oneself and others from possible dangers in digital environments (e.g. cyber bullying). Be aware of digital technologies for social well-being and social inclusion.,complying with health and safety procedures
protect personal data and privacy,Protect personal data and privacy in digital environments. Understand how to use and share personally identifiable information while being able to protect oneself and others from damages. Understand that digital services use a Privacy policy to inform how personal data is used.,ICT safety
protect personal data and privacy,Protect personal data and privacy in digital environments. Understand how to use and share personally identifiable information while being able to protect oneself and others from damages. Understand that digital services use a Privacy policy to inform how personal data is used.,protecting privacy and personal data
graphics editor software,The field of graphical ICT tools which enable digital editing and composition of graphics to develop both 2D raster or 2D vector graphics.,ICT software specifications
graphics editor software,The field of graphical ICT tools which enable digital editing and composition of graphics to develop both 2D raster or 2D vector graphics.,design graphics
graphics editor software,The field of graphical ICT tools which enable digital editing and composition of graphics to develop both 2D raster or 2D vector graphics.,computer use
teach digital literacy,"Instruct students in the theory and practice of (basic) digital and computer competency, such as typing efficiently, working with basic online technologies, and checking email. This also includes coaching students in the proper use of computer hardware equipment and software programmes.",identify digital competence gaps
teach digital literacy,"Instruct students in the theory and practice of (basic) digital and computer competency, such as typing efficiently, working with basic online technologies, and checking email. This also includes coaching students in the proper use of computer hardware equipment and software programmes.",training on operational procedures
test system accessibility for users with special needs,Examine whether software interface complies with standards and regulations so that the system can be used by people with special needs.,identify ICT user needs
test system accessibility for users with special needs,Examine whether software interface complies with standards and regulations so that the system can be used by people with special needs.,monitoring operational activities
solve technical problems,"Identify technical problems when operating devices and using digital environments, and solve them (from trouble-shooting to solving more complex problems).",identify problems
solve technical problems,"Identify technical problems when operating devices and using digital environments, and solve them (from trouble-shooting to solving more complex problems).",resolving computer problems
solve technical problems,"Identify technical problems when operating devices and using digital environments, and solve them (from trouble-shooting to solving more complex problems).",problem-solving with digital tools
forecast future ICT network needs,Identify current data traffic and estimate how growth will affect the ICT network.,identify technological needs
forecast future ICT network needs,Identify current data traffic and estimate how growth will affect the ICT network.,analysing business operations
identify blockchain innovation opportunities,"Identify blockchain innovation opportunities through the introduction of blockchain-based solutions, within a particular sector, but also across sectors. Understand the consequences of essential blockchain properties such as transparency and security for driving forward innovations.",identifying opportunities
adapt to new technology used in cars,Adapt to new technology integrated in cars; understand systems operation and provide troubleshooting.,implementing new procedures or processes
adapt to new technology used in cars,Adapt to new technology integrated in cars; understand systems operation and provide troubleshooting.,adapt to change
distributed ledger technology,"The distributed ledger theories, applied principles, architectures and systems, such as decentralization, consensus mechanisms, smart contracts, trust, etc.",information and communication technologies not elsewhere classified
image recognition,"A process designed to detect and identify a feature or object in an image or video. This process is used in medical imaging, security surveillance or defect detection, among other fields. Key technique for a wide range of applications such as automated driving, image classification, or visual inspection. ",information and communication technologies not elsewhere classified
virtual reality,The process of simulating real-life experiences in a completely immersive digital environment. The user interacts with the virtual reality system via devices such as specifically designed headsets.,information and communication technologies not elsewhere classified
computer vision,"The definition and functioning of computer vision. Computer vision tools to allow computers to extract information from digital images such as photographs or video. Areas of application to solve real-world problems like security, autonomous driving, robotic manufacturing and inspection, digital image classification, medical image processing and diagnosis, and others.",information and communication technologies not elsewhere classified
self-service technologies in tourism,"The application of self-service technologies in the tourism industry: performing online bookings, self-check-ins for hotels and airlines, allowing clients to perform and complete reservations by themselves using digital tools.",information and communication technologies not elsewhere classified
augmented reality,"The process of adding diverse digital content (such as images, 3D objects, etc) on surfaces that exist in the real world. The user can interact in real-time with the technology by using devices such as mobile phones.",information and communication technologies not elsewhere classified
blockchain,"A decentralised, public and distributed digital ledger that is employed to record transactions between many computers. It guarantees that the records cannot be modified retroactively without the consensus of the entire network namely all of the subsequent blocks in the chain.",information and communication technologies not elsewhere classified
configuration of the tote room hardware,"The functions of various pieces of tote room hardware, the settings and their usage cases.",information and communication technologies not elsewhere classified
smart city features,The use of big data technologies in the context of smart cities in order to develop novel software ecosystems upon which advanced mobility functionalities can be created. ,information and communication technologies not elsewhere classified
vehicle-to-everything technologies,"Technology that allows vehicles to communicate with other vehicles and traffic system infrastructure around them. This technology is composed of two elements: vehicle-to-vehicle (V2V) which allows vehicles to communicate with one another, and vehicle to infrastructure (V2I) which allows vehicles to communicate with external systems such as streetlights, buildings and cyclists or pedestrians. ",information and communication technologies not elsewhere classified
advanced driver assistant systems,"Vehicle-based intelligent safety systems which could improve road safety in terms of crash avoidance, crash severity mitigation and protection, and automatic post-crash notification of collision. Integrated in vehicle or infrastructure-based systems which contribute to some or all of these crash phases. More generally, some driver support systems are intended to improve safety whereas others are convenience functions.",information and communication technologies not elsewhere classified
principles of artificial intelligence,"The artificial intelligence theories, applied principles, architectures and systems, such as intelligent agents, multi-agent systems, expert systems, rule-based systems, neural networks, ontologies and cognition theories.",information and communication technologies not elsewhere classified
blockchain consensus mechanisms,The different mechanisms and their characteristics that ensure a transaction is propagated correctly in the distributed ledger.,information and communication technologies not elsewhere classified
artificial neural networks,A network of artificial neurons composed for solving artificial intelligence problems. These computing systems are inspired by the biological neural networks that constitute brains. Understanding of its general model and its  elements. Knowledge of its use possibilities for automation. ,information and communication technologies not elsewhere classified
artificial neural networks,A network of artificial neurons composed for solving artificial intelligence problems. These computing systems are inspired by the biological neural networks that constitute brains. Understanding of its general model and its  elements. Knowledge of its use possibilities for automation. ,principles of artificial intelligence
explain blockchain implications,"Explain the consequences, impact, and implications of using blockchain technology on the business processes they drive, as well as on a larger scale, also including social and ecological aspects.",information skills
install electronic communication equipment,Set up and deploy digital and analogue electronic communications. Understand electronic diagrams and equipment specifications.,install electrical and electronic equipment
install electronic communication equipment,Set up and deploy digital and analogue electronic communications. Understand electronic diagrams and equipment specifications.,"installing and repairing electrical, electronic and precision equipment"
manage alarm system,Set up and maintain system for detection of intrusions and unauthorised entries into a facility.,"installing and repairing electrical, electronic and precision equipment"
wire security sensors,Draw wires from the correct contact points in a variety of security sensors to the control panel. Make sure the wiring plan of the control panel is clear and effective.,"installing and repairing electrical, electronic and precision equipment"
set up consumer electronics,"Connect electronic devices, such as TVs, audio and video equipment and cameras, to the electricity network and perform electrical bonding to avoid dangerous potential differences. Test the installation for proper functioning.","installing and repairing electrical, electronic and precision equipment"
install mechatronic equipment,Install equipment used for the automation of a specific machine or device.,"installing and repairing electrical, electronic and precision equipment"
coordinate audio system programmes,"Coordinate the requirements, integration, and installation of audio control system programs.","installing and repairing electrical, electronic and precision equipment"
install image equipment,Install and connect projection and image equipment.,"installing and repairing electrical, electronic and precision equipment"
install blinds drive systems,"Install mechanical and electrical blinds drive systems such as cranks and tubular motors. If necessary, install and connect the computer control systems such as remote control, sun and wind sensors.","installing and repairing electrical, electronic and precision equipment"
repair ICT devices,"Maintain and repair ICT related equipment such as laptops, desktops, tablets, mobile devices, communications equipment, printers and any piece of computer related peripheral. Detect faults, malfunctions and replace parts if necessary.","installing and repairing electrical, electronic and precision equipment"
install monitors for process control,Plan and deploy a system of monitors for controlling specific processes in an organisation or a system.,"installing and repairing electrical, electronic and precision equipment"
install signal repeaters,Set up and configure devices which enhance strength of signal of a communication channel to enable proper reception and reproduction in further places.,"installing and repairing electrical, electronic and precision equipment"
install electronic communication devices on trains,"Install, adjust, and test electronic communication equipment, which includes sound, security, navigation, and surveillance systems.","installing and repairing electrical, electronic and precision equipment"
install electronic communication devices on trains,"Install, adjust, and test electronic communication equipment, which includes sound, security, navigation, and surveillance systems.",install electronic communication equipment
repair mobile devices,"Replace parts and repair faults of mobile phones, tablets and other small mobile devices.","installing and repairing electrical, electronic and precision equipment"
repair mobile devices,"Replace parts and repair faults of mobile phones, tablets and other small mobile devices.",repair ICT devices
repair lockable devices,"Provide repairing and troubleshooting services for automatic door openers, door closing devices and other access control systems, in compliance with specifications.","installing and repairing electrical, electronic and precision equipment"
repair lockable devices,"Provide repairing and troubleshooting services for automatic door openers, door closing devices and other access control systems, in compliance with specifications.",replace defective devices
support audio system installation,Support the on-site installation efforts of the team. Troubleshoot and debug audio systems.,"installing and repairing electrical, electronic and precision equipment"
support audio system installation,Support the on-site installation efforts of the team. Troubleshoot and debug audio systems.,troubleshoot
support audio system installation,Support the on-site installation efforts of the team. Troubleshoot and debug audio systems.,coordinate audio system programmes
prepare sound equipment on stage,"Set up, rig, connect, test and tune audio equipment on stage.",installing wooden and metal components
test hardware,"Test computer hardware systems and components using appropriate equipment and testing methods, such as the system test (ST), the ongoing reliability test (ORT), and the in-circuit test (ICT). Monitor and evaluate system performance and take action if needed.",installing wooden and metal components
test wireless devices,"Analyse and test wireless devices and digital platforms that use power management integrated circuits (PMIC), radio frequency integrated circuits (RFIC) or wireless chipsets.",installing wooden and metal components
monitor system performance,"Measure system reliability and performance before, during and after component integration and during system operation and maintenance. Select and use performance monitoring tools and techniques, such as special software.",installing wooden and metal components
oversee aircraft sensor and recording systems,Supervise the installation of the aircraft sensors and recording systems during the flight tests to ensure that they meet required data paramaters.,installing wooden and metal components
measure software usability,Check the convenience of the software product for the end user. Identify user problems and make adjustments to improve usability practice. Collect input data on how users evaluate software products.,installing wooden and metal components
manage system testing,"Select, perform and track testings on software or hardware to detect system defects both within the integrated system units, the inter-assemblages and the system as a whole. Organise testings such as installation testing, security testing and graphical user interface testing.",installing wooden and metal components
test ICT queries,Assess that developed queries return and execute correct actions and data.,installing wooden and metal components
monitor satellites,"Analyse ground systems and investigate any anomalous behavior of satellites. Develop the right corrective measures, and implement where necessary.",installing wooden and metal components
test improved aeronautical information management systems,Test functionality of systems before releasing them; test potential impacts and predict final outcome.,installing wooden and metal components
test improved aeronautical information management systems,Test functionality of systems before releasing them; test potential impacts and predict final outcome.,maintain up-to-date aeronautical information management services
test computer hardware,Test computer hardware systems and components using appropriate equipment. Gather and analyse data. Monitor and evaluate system performance and take action if needed.,installing wooden and metal components
test computer hardware,Test computer hardware systems and components using appropriate equipment. Gather and analyse data. Monitor and evaluate system performance and take action if needed.,think critically
test computer hardware,Test computer hardware systems and components using appropriate equipment. Gather and analyse data. Monitor and evaluate system performance and take action if needed.,test hardware
lead disaster recovery exercises,"Head exercises which educate people on what to do in case of an unforeseen disastrous event in the functioning or security of ICT systems, such as on recovery of data, protection of identity and information and which steps to take in order to prevent further problems.",instruct others
lead disaster recovery exercises,"Head exercises which educate people on what to do in case of an unforeseen disastrous event in the functioning or security of ICT systems, such as on recovery of data, protection of identity and information and which steps to take in order to prevent further problems.",leading and motivating
lead disaster recovery exercises,"Head exercises which educate people on what to do in case of an unforeseen disastrous event in the functioning or security of ICT systems, such as on recovery of data, protection of identity and information and which steps to take in order to prevent further problems.",lead others
provide online help,Provide  support information  to users delivered through an ICT system to give assistance or present information either on a broad range of subjects or for a specific topic or product.,instruct others
provide online help,Provide  support information  to users delivered through an ICT system to give assistance or present information either on a broad range of subjects or for a specific topic or product.,providing information and support to the public and clients
deliver online training,"Provide training by using online technologies, adapting the learning materials, using e-learning methods, supporting the trainees and communicating online. Instruct virtual classrooms.",instruct others
deliver online training,"Provide training by using online technologies, adapting the learning materials, using e-learning methods, supporting the trainees and communicating online. Instruct virtual classrooms.",teaching and training
