preferredLabel,description,broaderConceptPT
graphic design,The techniques to create a visual representation of ideas and messages.,audio-visual techniques and media production
motion graphics,The techniques and software for creating the illusion of motion such as keyframing.,audio-visual techniques and media production
digital image processing,"The different aspects and practices of image processing and manipulation like image interpolation, aliasing, image enhancement, contrast stretching, histogram processing and equalization, singular value decomposition, singular value equalization, wavelets filtering and many others.",audio-visual techniques and media production
digital game creation systems,"The integrated development environments and specialised design tools, designed for the rapid iteration of user-derived computer games.",audio-visual techniques and media production
file-based workflow,"The recording of moving images without using tape, but by storing these digital videos on optical disks, hard drives, and other digital storage devices.",audio-visual techniques and media production
manufacturer's instructions for audiovisual equipment,"Manufacturer's instructions required to install audio and video equipment, as specified in the user's manual.",audio-visual techniques and media production
audio technology,"The various technologies for producing, recording, and reproducing sound.",audio-visual techniques and media production
multimedia systems,"The methods, procedures and techniques pertaining to the operation of multimedia systems, usually a combination of software and hardware, presenting various types of media such as video and audio.",audio-visual techniques and media production
digital media,The set of medias that are transmitted through electronic devices. ,audio-visual techniques and media production
digital arts,"The production of art through digital tools, software, computers or other electronic devices. It involves the use of various mediums for artistic expression such as digital photography or computer graphics as well as pixel art.",audio-visual techniques and media production
types of audiovisual formats,"Various audio and video formats, including digital.",audio-visual techniques and media production
projection equipment,"The different types of projection equipment, their properties, and usages.",audio-visual techniques and media production
video conferencing tool,The software that are used to enable virtual meetings between people through internet with real-time multidirectional video and audio streaming.,audio-visual techniques and media production
post-processing of photographs,The characteristics of software and techniques used in post-processing photographs.,audio-visual techniques and media production
audiovisual equipment,The characteristics and usage of different tools that stimulate the sight and audio senses.,audio-visual techniques and media production
content development processes,"The specialised techniques used to design, write, compile, edit and organise digital content, such as text, graphics and videos for publishing purposes.",audio-visual techniques and media production
publishing strategy,"The methods, rules, media and tools of publishing content from content management systems in single sources or cross media.",audio-visual techniques and media production
publishing strategy,"The methods, rules, media and tools of publishing content from content management systems in single sources or cross media.",content development processes
intellectual property regime of digital content," Copyright and licencing provisions that apply to data, information and digital content.",audio-visual techniques and media production
intellectual property regime of digital content," Copyright and licencing provisions that apply to data, information and digital content.",digital content creation
