"ID_area","ID_competencia","Idioma","ID_nivel","ID_nivelCompetencia","Texto","Verbo"
2,2,"Español",6,3,"Variar el uso de las prácticas de referencia y atribución más adecuadas.","Variar"
2,2,"Español",7,1,"Crear soluciones a problemas complejos con una definición limitada que están relacionados con el intercambio a través de las tecnologías digitales.","Crear"
2,2,"Español",7,2,"Integrar mis conocimientos para contribuir a las prácticas y conocimientos profesionales y guiar a otros en el intercambio a través de las tecnologías digitales.","Integrar"
2,2,"Español",8,1,"Crear soluciones para resolver problemas complejos con muchos factores que interactúan y que están relacionados con el intercambio a través de las tecnologías digitales.","Crear"
2,2,"Español",8,2,"Proponer nuevas ideas y procesos en el sector.","Proponer"
2,2,"Inglés",1,1,"recognise simple appropriate digital technologies to share data, information and digital content.","recognise"
2,2,"Inglés",1,2,"identify simple referencing and attribution practices.","identify"
2,2,"Inglés",2,1,"recognise simple appropriate digital technologies to share data, information and digital content.","recognise"
2,2,"Inglés",2,2,"identify simple referencing and attribution practices.","identify"
2,2,"Inglés",3,1,"select well-defined and routine appropriate digital technologies to share data, information and digital content.","select, routine"
2,2,"Inglés",3,2,"explain how to act as an intermediary for sharing information and content through well-defined and routine digital technologies,","explain, routine"
2,2,"Inglés",3,3,"illustrate well-defined and routine referencing and attribution practices.","illustrate, routine"
2,2,"Inglés",4,1,"manipulate appropriate digital technologies to share data, information and digital content.","illustrate"
2,2,"Inglés",4,2,"explain how to act as an intermediary for sharing information and content through digital technologies,","explain"
2,2,"Inglés",4,3,"illustrate referencing and attribution practices.","illustrate"
2,2,"Inglés",5,1,"share data, information and digital content through a variety of appropriate digital tools,","share"
2,2,"Inglés",5,2,"show others how to act as an intermediary for sharing information and content through digital technologies.","show"
2,2,"Inglés",5,3,"apply a variety of referencing and attribution practices.","apply"
2,2,"Inglés",6,1,"assess the most appropriate digital technologies to share information and content.","assess"
2,2,"Inglés",6,2,"adapt my intermediation role,","adapt"
2,2,"Inglés",6,3,"vary the use of the more appropriate referencing and attribution practices.","vary"
2,2,"Inglés",7,1,"create solutions to complex problems with limited definition that are related to sharing through digital technologies.","create"
2,2,"Inglés",7,2,"integrate my knowledge to contribute to professional practices and knowledge and guide others in sharing through digital technologies.","integrate, guide"
2,2,"Inglés",8,1,"create solutions to solve complex problems with many interacting factors that are related to sharing through digital technologies.","create"
2,2,"Inglés",8,2,"propose new ideas and processes to the field.","propose"
2,3,"Español",1,1,"Identificar servicios digitales sencillos para participar en la sociedad.","Identificar"
2,3,"Español",1,2,"Reconocer las tecnologías digitales sencillas y apropiadas para capacitarme y participar en la sociedad como ciudadanía.","Reconocer"
2,3,"Español",2,1,"Identificar servicios digitales sencillos para participar en la sociedad.","Identificar"
2,3,"Español",2,2,"Reconocer las tecnologías digitales sencillas y apropiadas para capacitarme y participar en la sociedad como ciudadanía","Reconocer"
2,3,"Español",3,1,"Seleccionar servicios digitales bien definidos y rutinarios para participar en la sociedad.","Seleccionar"
2,3,"Español",3,2,"Indicar tecnologías digitales adecuadas, bien definidas y rutinarias para capacitarme y participar en la sociedad como ciudadanía.","Indicar"
2,3,"Español",4,1,"Seleccionar servicios digitales para participar en la sociedad.","Seleccionar"
2,3,"Español",4,2,"Debatir sobre las tecnologías digitales adecuadas para capacitarme y participar en la sociedad como ciudadanía.","Debatir"
2,3,"Español",5,1,"Proponer diferentes servicios digitales para participar en la sociedad.","Proponer"
2,3,"Español",5,2,"Utilizar las tecnologías digitales adecuadas para capacitarme y participar en la sociedad como ciudadanía.","Utilizar"
2,3,"Español",6,1,"Variar el uso de los servicios digitales más adecuados para participar en la sociedad.","Variar"
2,3,"Español",6,2,"Variar el uso de las tecnologías digitales más adecuadas para capacitarme y participar en la sociedad como ciudadanía.","Variar"
2,3,"Español",7,1,"Crear soluciones a problemas complejos de definición limitada relacionados con la participación de la ciudadanía a través de las tecnologías digitales.","Crear"
2,3,"Español",7,2,"Integrar mis conocimientos para contribuir a las prácticas y conocimientos profesionales y guiar a otros en el compromiso de la ciudadanía a través de las tecnologías digitales.","Integrar"
2,3,"Español",8,1,"Crear soluciones para resolver problemas complejos con muchos factores que interactúan que están relacionados con la participación de la ciudadanía a través de las tecnologías digitales.","Crear"
2,3,"Español",8,2,"Proponer nuevas ideas y procesos en el sector.","Proponer"
2,3,"Inglés",1,1,"identify simple digital services in order to participate in society.","identify"
2,3,"Inglés",1,2,"recognise simple appropriate digital technologies to empower myself and to participate in society as a citizen.","recognise"
2,3,"Inglés",2,1,"identify simple digital services in order to participate in society.","identify"
2,3,"Inglés",2,2,"recognise simple appropriate digital technologies to empower myself and to participate in society as a citizen.","recognise"
2,3,"Inglés",3,1,"select well-defined and routine digital services in order to participate in society.","select, routine"
2,3,"Inglés",3,2,"indicate well-defined and routine appropriate digital technologies to empower myself and to participate in society as a citizen.","indicate, routine"
2,3,"Inglés",4,1,"select digital services in order to participate in society.","select"
2,3,"Inglés",4,2,"discuss appropriate digital technologies to empower myself and to participate in society as a citizen.","discuss"
2,3,"Inglés",5,1,"propose different digital services to participate in society.","propose"
2,3,"Inglés",5,2,"use appropriate digital technologies to empower myself and to participate in society as a citizen.","use"
2,3,"Inglés",6,1,"vary the use of the most appropriate digital services in order to participate in society.","vary"
2,3,"Inglés",6,2,"vary the use of the most appropriate digital technologies to empower myself and to participate in society as a citizen.","vary"
2,3,"Inglés",7,1,"create solutions to complex problems with limited definition that are related to engaging in citizenship through digital technologies.","create"
2,3,"Inglés",7,2,"integrate my knowledge to contribute to professional practices and knowledge and guide others in engaging in citizenship through digital technologies.","integrate, guide"
2,3,"Inglés",8,1,"create solutions to solve complex problems with many interacting factors that are related to engaging in citizenship through digital technologies","create"
2,3,"Inglés",8,2,"propose new ideas and processes to the field.","propose"
2,4,"Español",1,1,"Elegir herramientas y tecnologías digitales sencillas para los procesos de colaboración.","Elegir"
2,4,"Español",2,1,"Elegir herramientas y tecnologías digitales sencillas para los procesos de colaboración.","Elegir"
2,4,"Español",3,1,"Seleccionar herramientas y tecnologías digitales bien definidas y rutinarias para los procesos de colaboración.","Seleccionar"
2,4,"Español",4,1,"Seleccionar herramientas y tecnologías digitales para los procesos de colaboración.","Seleccionar"
2,4,"Español",5,1,"Proponer diferentes herramientas y tecnologías digitales adecuadas para los procesos de colaboración.","Proponer"
2,4,"Español",6,1,"Variar el uso de las herramientas y tecnologías digitales más adecuadas para los procesos de colaboración.","Variar"
2,4,"Español",6,2,"Elegir las herramientas y tecnologías digitales más apropiadas para coconstruir y cocrear datos, recursos y conocimientos.","Elegir"
2,4,"Español",7,1,"Variar el uso de las herramientas y tecnologías digitales más adecuadas para los procesos de colaboración.","Variar"
2,4,"Español",7,2,"Elegir las herramientas y tecnologías digitales más apropiadas para coconstruir y cocrear datos, recursos y conocimientos.","Elegir"
2,4,"Español",8,1,"Crear soluciones para resolver problemas complejos con muchos factores que interactúan y que están relacionados con el uso de procesos de colaboración y de coconstrucción y cocreación de datos, recursos y conocimientos a través de herramientas y tecnologías digitales.","Crear"
2,4,"Español",8,2,"Proponer nuevas ideas y procesos en el sector.","Proponer"
2,4,"Inglés",1,1,"choose simple digital tools and technologies for collaborative processes.","choose"
2,4,"Inglés",2,1,"choose simple digital tools and technologies for collaborative processes.","choose"
2,4,"Inglés",3,1,"select well-defined and routine digital tools and technologies for collaborative processes.","select, routine"
2,4,"Inglés",4,1,"select digital tools and technologies for collaborative processes.","select"
2,4,"Inglés",5,1,"propose different digital tools and technologies for collaborative processes.","propose"
2,4,"Inglés",6,1,"vary the use of the most appropriate digital tools and technologies for collaborative processes.","vary"
2,4,"Inglés",6,2,"choose the most appropriate digital tools and technologies for co-constructing and co-creating data, resources and knowledge.","choose"
2,4,"Inglés",7,1,"vary the use of the most appropriate digital tools and technologies for collaborative processes.","vary"
2,4,"Inglés",7,2,"choose the most appropriate digital tools and technologies for co-constructing and co-creating data, resources and knowledge.","choose"
2,4,"Inglés",8,1,"create solutions to solve complex problems with many interacting factors that are related to using collaborative processes and co-construction and co-creation of data, resources and knowledge through digital tools and technologies.","create"
2,4,"Inglés",8,2,"propose new ideas and processes to the field.","propose"
